id_food,food_item,category,calories_kcal,protein_g,carbohydrates_g,fat_g,fiber_g,sugars_g,sodium_mg,cholesterol_mg,source
42,Chicken Noodle Soup (1 can),Meal/Processed,150.0,7.0,18.0,5.0,2.0,2.0,890.0,15.0,Daily Food & Nutrition Dataset
43,Peanut Butter (2 tbsp),Nut,190.0,7.0,8.0,16.0,2.0,3.0,140.0,0.0,Daily Food & Nutrition Dataset
44,Celery Sticks (1 cup),Vegetable,14.0,0.6,3.0,0.2,1.4,1.2,77.0,0.0,Daily Food & Nutrition Dataset
45,Cod (4oz baked),Protein/Fish,95.0,20.0,0.0,0.8,0.0,0.0,95.0,55.0,Daily Food & Nutrition Dataset
46,Green Beans (1 cup),Vegetable,31.0,1.8,7.0,0.2,2.7,3.3,6.0,0.0,Daily Food & Nutrition Dataset
47,Chocolate Chip Cookie (1 large),Dessert,220.0,2.5,30.0,11.0,1.5,19.0,160.0,20.0,Daily Food & Nutrition Dataset
48,Shrimp (3oz steamed),Protein/Fish,84.0,20.0,0.2,0.2,0.0,0.0,100.0,161.0,Daily Food & Nutrition Dataset
49,Pancakes (2 medium),Grain,180.0,5.0,30.0,5.0,1.0,6.0,450.0,25.0,Daily Food & Nutrition Dataset
50,Maple Syrup (2 tbsp),Condiment,104.0,0.0,27.0,0.0,0.0,24.0,2.0,0.0,Daily Food & Nutrition Dataset
51,Sausage Link (1 cooked),Protein/Meat,85.0,5.0,1.0,7.0,0.0,0.5,300.0,20.0,Daily Food & Nutrition Dataset
52,Smoothie (Fruit & Yogurt),Beverage/Meal,280.0,12.0,55.0,3.0,7.0,40.0,70.0,5.0,Daily Food & Nutrition Dataset
53,Tofu (4oz firm),Protein/Vegetarian,90.0,10.0,3.0,5.0,2.0,1.0,10.0,0.0,Daily Food & Nutrition Dataset
54,Brown Rice (1 cup cooked),Grain,215.0,5.0,45.0,1.8,3.5,0.4,10.0,0.0,Daily Food & Nutrition Dataset
55,Bell Pepper (1 medium red),Vegetable,31.0,1.2,6.0,0.3,2.1,4.2,4.0,0.0,Daily Food & Nutrition Dataset
56,Hummus (2 tbsp),Legume,70.0,2.0,4.0,5.0,2.0,0.0,130.0,0.0,Daily Food & Nutrition Dataset
57,Pita Bread (1 whole wheat),Grain,170.0,6.0,35.0,1.5,5.0,2.0,320.0,0.0,Daily Food & Nutrition Dataset
58,Pork Chop (4oz grilled),Protein/Meat,220.0,30.0,0.0,10.0,0.0,0.0,70.0,85.0,Daily Food & Nutrition Dataset
59,Mashed Potatoes (1 cup),Vegetable,230.0,4.0,35.0,8.0,3.0,2.0,350.0,15.0,Daily Food & Nutrition Dataset
60,Corn (1 cup),Vegetable,132.0,4.7,30.0,1.8,3.6,8.9,2.0,0.0,Daily Food & Nutrition Dataset
61,Soda (1 can Coke),Beverage,140.0,0.0,39.0,0.0,0.0,39.0,45.0,0.0,Daily Food & Nutrition Dataset
62,Pretzels (1 oz),Grain/Processed,110.0,3.0,23.0,1.0,1.0,1.0,450.0,0.0,Daily Food & Nutrition Dataset
63,Cheddar Cheese (1 oz),Dairy,115.0,7.0,1.0,9.5,0.0,0.5,180.0,30.0,Daily Food & Nutrition Dataset
64,Caesar Salad (with chicken),Meal/Protein,470.0,30.0,15.0,30.0,3.0,3.0,890.0,75.0,Daily Food & Nutrition Dataset
65,Orange Juice (1 cup),Beverage,112.0,1.7,25.8,0.5,0.7,20.8,2.0,0.0,Daily Food & Nutrition Dataset
66,Bacon (2 slices cooked),Protein/Meat,86.0,6.0,0.2,6.8,0.0,0.1,330.0,18.0,Daily Food & Nutrition Dataset
67,Waffles (2 homemade),Grain,220.0,6.0,28.0,9.0,1.5,3.0,420.0,45.0,Daily Food & Nutrition Dataset
68,Pear,Fruit,101.0,0.6,27.0,0.2,5.5,16.0,2.0,0.0,Daily Food & Nutrition Dataset
69,Chicken Breast (4oz roasted),Protein/Meat,185.0,35.0,0.0,4.0,0.0,0.0,80.0,95.0,Daily Food & Nutrition Dataset
70,Mixed Nuts (1/4 cup),Nut,200.0,6.0,8.0,18.0,3.0,2.0,1.0,0.0,Daily Food & Nutrition Dataset
71,Tilapia (4oz baked),Protein/Fish,110.0,22.0,0.0,2.5,0.0,0.0,50.0,50.0,Daily Food & Nutrition Dataset
72,Asparagus (1 cup steamed),Vegetable,40.0,4.3,7.4,0.4,3.6,3.5,4.0,0.0,Daily Food & Nutrition Dataset
73,Sweet Potato (1 medium baked),Vegetable,103.0,2.3,23.6,0.2,3.8,7.4,41.0,0.0,Daily Food & Nutrition Dataset
74,Popcorn (3 cups air-popped),Grain,93.0,3.0,18.6,1.1,3.6,0.1,2.0,0.0,Daily Food & Nutrition Dataset
75,Raisins (1/4 cup),Fruit,130.0,1.3,34.0,0.2,1.6,25.0,5.0,0.0,Daily Food & Nutrition Dataset
76,Macaroni & Cheese (1 cup),Meal/Pasta,350.0,10.0,40.0,17.0,2.0,5.0,750.0,40.0,Daily Food & Nutrition Dataset
77,Tomato Soup (1 can),Meal/Vegetable,170.0,4.0,25.0,6.0,4.0,15.0,900.0,10.0,Daily Food & Nutrition Dataset
78,Grilled Cheese Sandwich,Meal/Processed,390.0,15.0,32.0,22.0,3.0,4.0,800.0,60.0,Daily Food & Nutrition Dataset
79,Beef Tacos (2 hard shell),Meal/Meat,380.0,18.0,28.0,22.0,5.0,3.0,600.0,50.0,Daily Food & Nutrition Dataset
80,Refried Beans (1/2 cup),Legume,115.0,7.0,19.0,1.0,6.0,1.0,480.0,0.0,Daily Food & Nutrition Dataset
81,Guacamole (1/4 cup),Vegetable/Condiment,90.0,1.0,4.0,8.0,3.0,0.5,120.0,0.0,Daily Food & Nutrition Dataset
82,Watermelon (1 cup diced),Fruit,46.0,0.9,11.5,0.2,0.6,9.4,2.0,0.0,Daily Food & Nutrition Dataset
83,English Muffin (whole wheat),Grain,134.0,6.0,26.0,1.0,4.4,1.0,210.0,0.0,Daily Food & Nutrition Dataset
84,Peanut Butter & Jelly Sandwich,Meal/Processed,390.0,12.0,50.0,17.0,5.0,20.0,450.0,0.0,Daily Food & Nutrition Dataset
85,Clam Chowder (1 cup),Meal/Seafood,200.0,10.0,18.0,9.0,1.0,2.0,870.0,30.0,Daily Food & Nutrition Dataset
86,Iced Tea (Sweetened 16oz),Beverage,180.0,0.0,46.0,0.0,0.0,46.0,15.0,0.0,Daily Food & Nutrition Dataset
87,Lasagna (1 serving meat),Meal/Pasta,350.0,20.0,30.0,17.0,4.0,7.0,850.0,55.0,Daily Food & Nutrition Dataset
88,Garlic Bread (1 slice),Grain,150.0,4.0,18.0,7.0,1.0,1.0,310.0,0.0,Daily Food & Nutrition Dataset
89,Chocolate Milk (1 cup),Beverage/Dairy,200.0,8.0,26.0,8.0,1.0,24.0,160.0,30.0,Daily Food & Nutrition Dataset
90,White Bread (1 slice),Grain,70.0,2.0,13.0,1.0,0.6,1.2,140.0,0.0,Daily Food & Nutrition Dataset
91,Jelly (1 tbsp grape),Condiment,50.0,0.0,13.0,0.0,0.1,12.0,5.0,0.0,Daily Food & Nutrition Dataset
92,Veggie Burger (1 patty),Protein/Vegetarian,120.0,11.0,10.0,4.0,5.0,1.0,350.0,0.0,Daily Food & Nutrition Dataset
93,Bun (hamburger),Grain,140.0,4.0,26.0,2.0,1.0,4.0,260.0,0.0,Daily Food & Nutrition Dataset
94,Ketchup (1 tbsp),Condiment,20.0,0.2,5.0,0.1,0.2,4.0,160.0,0.0,Daily Food & Nutrition Dataset
95,Muffin (Blueberry 1 large),Grain/Dessert,380.0,5.0,55.0,16.0,2.0,30.0,350.0,50.0,Daily Food & Nutrition Dataset
96,Coffee (with cream/sugar),Beverage,50.0,0.5,5.0,3.0,0.0,4.5,10.0,10.0,Daily Food & Nutrition Dataset
97,Potato Chips (1 oz),Snack/Processed,160.0,2.0,15.0,10.0,1.0,0.5,170.0,0.0,Daily Food & Nutrition Dataset
98,Tzatziki Sauce (2 tbsp),Condiment/Dairy,30.0,1.5,2.0,2.0,0.0,1.5,100.0,5.0,Daily Food & Nutrition Dataset
99,Scallops (3oz seared),Protein/Seafood,95.0,17.0,5.0,1.0,0.0,0.0,180.0,35.0,Daily Food & Nutrition Dataset
100,Risotto (Mushroom 1 cup),Meal/Grain,250.0,7.0,35.0,9.0,3.0,3.0,600.0,20.0,Daily Food & Nutrition Dataset
101,Caprese Salad,Meal/Vegetable,240.0,10.0,8.0,18.0,2.0,5.0,350.0,40.0,Daily Food & Nutrition Dataset
102,Balsamic Vinaigrette (2 tbsp),Condiment,90.0,0.0,3.0,9.0,0.0,2.5,300.0,0.0,Daily Food & Nutrition Dataset
103,Cherries (1 cup),Fruit,77.0,1.6,19.0,0.5,2.5,15.0,0.0,0.0,Daily Food & Nutrition Dataset
104,Turkey Bacon (2 slices),Protein/Meat,70.0,6.0,1.0,5.0,0.0,0.5,360.0,30.0,Daily Food & Nutrition Dataset
105,Grits (1 cup cooked),Grain,150.0,3.0,32.0,1.0,2.0,0.5,320.0,0.0,Daily Food & Nutrition Dataset
106,Butter (1 tbsp),Condiment/Dairy,100.0,0.1,0.0,11.0,0.0,0.0,82.0,30.0,Daily Food & Nutrition Dataset
107,Meatball Sub (6 inch),Meal/Processed,580.0,28.0,55.0,27.0,6.0,10.0,1200.0,70.0,Daily Food & Nutrition Dataset
108,Kiwifruit (1 medium),Fruit,46.0,0.9,11.1,0.4,2.3,6.7,2.0,0.0,Daily Food & Nutrition Dataset
109,Beef Jerky (1 oz),Snack/Processed,116.0,9.4,3.1,7.2,0.5,2.5,590.0,30.0,Daily Food & Nutrition Dataset
110,Figs (2 medium),Fruit,74.0,0.6,19.2,0.3,2.9,16.2,2.0,0.0,Daily Food & Nutrition Dataset
111,Lobster (3oz steamed),Protein/Seafood,76.0,16.0,0.0,0.7,0.0,0.0,250.0,125.0,Daily Food & Nutrition Dataset
112,Melted Butter (for lobster),Condiment,200.0,0.2,0.0,22.0,0.0,0.0,164.0,60.0,Daily Food & Nutrition Dataset
113,Corn on the Cob (1 large),Vegetable,125.0,5.0,29.0,1.5,3.0,5.0,2.0,0.0,Daily Food & Nutrition Dataset
114,Vegetable Soup (1 can),Meal/Vegetable,140.0,4.0,22.0,4.0,6.0,8.0,780.0,5.0,Daily Food & Nutrition Dataset
115,Saltine Crackers (5 crackers),Grain/Processed,60.0,1.0,10.0,1.5,0.5,0.0,140.0,0.0,Daily Food & Nutrition Dataset
116,Mango (1 cup slices),Fruit,99.0,1.4,24.7,0.6,2.6,22.5,2.0,0.0,Daily Food & Nutrition Dataset
117,Cheesecake (1 slice),Dessert,320.0,5.0,28.0,21.0,1.0,20.0,280.0,65.0,Daily Food & Nutrition Dataset
118,Pad Thai (Chicken 1.5 cups),Meal/Pasta,550.0,25.0,60.0,22.0,5.0,10.0,950.0,70.0,Daily Food & Nutrition Dataset
119,Spring Roll (Veg 2 rolls),Snack/Processed,180.0,4.0,25.0,7.0,3.0,3.0,450.0,0.0,Daily Food & Nutrition Dataset
120,Coconut Water (1 cup),Beverage,46.0,1.7,8.9,0.5,2.6,6.3,252.0,0.0,Daily Food & Nutrition Dataset
121,Kimchi (1/2 cup),Vegetable,22.0,1.7,4.0,0.4,2.4,1.5,750.0,0.0,Daily Food & Nutrition Dataset
122,Sashimi (Salmon 3 pcs),Protein/Fish,120.0,18.0,0.0,5.0,0.0,0.0,45.0,40.0,Daily Food & Nutrition Dataset
123,Wasabi (1 tsp),Condiment,10.0,0.1,2.2,0.1,0.3,1.0,40.0,0.0,Daily Food & Nutrition Dataset
124,Seaweed Salad (1/2 cup),Vegetable,60.0,2.0,8.0,3.0,2.0,4.0,350.0,0.0,Daily Food & Nutrition Dataset
125,French Onion Soup (1 cup),Meal,150.0,6.0,15.0,7.0,2.0,5.0,800.0,20.0,Daily Food & Nutrition Dataset
126,Croutons (1/4 cup),Grain,50.0,1.5,7.0,2.0,0.5,0.5,140.0,0.0,Daily Food & Nutrition Dataset
127,Shepherd's Pie (1 serving),Meal/Meat,400.0,20.0,35.0,20.0,6.0,7.0,850.0,55.0,Daily Food & Nutrition Dataset
128,Green Peas (1/2 cup),Legume,62.0,4.1,11.1,0.2,4.4,4.2,2.0,0.0,Daily Food & Nutrition Dataset
129,Apple Pie (1 slice),Dessert,410.0,3.0,58.0,19.0,3.0,25.0,320.0,0.0,Daily Food & Nutrition Dataset
130,Gin & Tonic (1 drink),Beverage,170.0,0.0,13.0,0.0,0.0,13.0,2.0,0.0,Daily Food & Nutrition Dataset
131,Red Wine (5 oz glass),Beverage,125.0,0.1,3.8,0.0,0.0,0.9,6.0,0.0,Daily Food & Nutrition Dataset
132,Halibut (4oz baked),Protein/Fish,125.0,24.0,0.0,2.5,0.0,0.0,60.0,40.0,Daily Food & Nutrition Dataset
133,Quinoa Salad (1 cup),Meal/Vegetarian,260.0,9.0,32.0,12.0,6.0,4.0,300.0,0.0,Daily Food & Nutrition Dataset
134,Lemonade (1 cup),Beverage,99.0,0.1,26.0,0.0,0.1,25.0,30.0,0.0,Daily Food & Nutrition Dataset
135,Pistachios (1 oz shelled),Nut,159.0,5.7,7.7,12.8,3.0,2.2,2.0,0.0,Daily Food & Nutrition Dataset
136,Oat Milk (1 cup),Beverage/Dairy-Alt,120.0,3.0,16.0,5.0,2.0,7.0,100.0,0.0,Daily Food & Nutrition Dataset
137,Biscuits and Gravy (1 serving),Meal/Processed,480.0,10.0,45.0,28.0,2.0,3.0,1100.0,35.0,Daily Food & Nutrition Dataset
138,Avocado (1/2 fruit),Fruit,160.0,2.0,8.5,14.7,6.7,0.7,7.0,0.0,Daily Food & Nutrition Dataset
139,Corn Flakes (1 cup),Grain,100.0,2.0,24.0,0.0,1.0,3.0,200.0,0.0,Daily Food & Nutrition Dataset
140,T-Bone Steak (6oz),Protein/Meat,460.0,38.0,0.0,33.0,0.0,0.0,110.0,105.0,Daily Food & Nutrition Dataset
141,Creamed Spinach (1/2 cup),Vegetable,190.0,5.0,8.0,16.0,3.0,2.0,450.0,50.0,Daily Food & Nutrition Dataset
142,Pecans (1 oz),Nut,196.0,2.6,3.9,20.4,2.7,1.1,0.0,0.0,Daily Food & Nutrition Dataset
143,Fruit Cocktail (canned 1 cup),Fruit,110.0,1.0,28.0,0.0,2.0,26.0,10.0,0.0,Daily Food & Nutrition Dataset
144,Ramen (Instant 1 pack),Meal/Processed,380.0,9.0,53.0,14.0,2.0,2.0,1580.0,0.0,Daily Food & Nutrition Dataset
145,Mocha Latte (16oz),Beverage,360.0,12.0,48.0,15.0,2.0,42.0,150.0,45.0,Daily Food & Nutrition Dataset
146,Cucumber Slices (1 cup),Vegetable,16.0,0.7,3.6,0.1,0.5,1.7,2.0,0.0,Daily Food & Nutrition Dataset
147,Feta Cheese (1 oz),Dairy,75.0,4.0,1.2,6.1,0.0,0.7,316.0,25.0,Daily Food & Nutrition Dataset
148,Olives (Kalamata 5 large),Fruit,35.0,0.2,1.0,3.5,0.5,0.0,210.0,0.0,Daily Food & Nutrition Dataset
149,Chicken Alfredo (1.5 cups),Meal/Pasta,680.0,35.0,45.0,38.0,4.0,5.0,980.0,120.0,Daily Food & Nutrition Dataset
150,Breadstick (1 large),Grain,160.0,4.0,28.0,3.0,1.0,2.0,350.0,0.0,Daily Food & Nutrition Dataset
151,Cobb Salad,Meal/Protein,510.0,30.0,12.0,38.0,7.0,6.0,800.0,210.0,Daily Food & Nutrition Dataset
152,Blue Cheese Dressing (2 tbsp),Condiment,150.0,1.0,2.0,16.0,0.0,1.0,320.0,10.0,Daily Food & Nutrition Dataset
153,Mandarin Orange (1 medium),Fruit,37.0,0.6,9.3,0.2,1.3,7.3,1.0,0.0,Daily Food & Nutrition Dataset
154,Cashews (1 oz roasted),Nut,163.0,4.3,9.2,13.1,0.9,1.4,140.0,0.0,Daily Food & Nutrition Dataset
155,Eggo Waffle (2 waffles),Grain/Processed,180.0,4.0,30.0,5.0,1.0,4.0,400.0,0.0,Daily Food & Nutrition Dataset
156,Diet Soda (1 can),Beverage,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,Daily Food & Nutrition Dataset
157,Pulled Pork Sandwich,Meal/Meat,480.0,25.0,48.0,20.0,3.0,15.0,900.0,75.0,Daily Food & Nutrition Dataset
158,Macadamia Nuts (1 oz),Nut,204.0,2.2,3.9,21.5,2.4,1.3,1.0,0.0,Daily Food & Nutrition Dataset
159,Crab Cakes (2 medium),Meal/Seafood,340.0,20.0,18.0,20.0,1.0,2.0,700.0,120.0,Daily Food & Nutrition Dataset
160,Tartar Sauce (2 tbsp),Condiment,60.0,0.2,2.0,5.5,0.1,1.5,180.0,5.0,Daily Food & Nutrition Dataset
161,Lemon Bar (1 square),Dessert,150.0,1.5,22.0,6.0,0.5,15.0,80.0,30.0,Daily Food & Nutrition Dataset
162,Almond Milk (Unsweetened 1 cup),Beverage/Dairy-Alt,30.0,1.0,1.0,2.5,1.0,0.0,160.0,0.0,Daily Food & Nutrition Dataset
163,Rice Krispies (1.5 cups),Grain,160.0,3.0,37.0,0.5,0.5,4.0,290.0,0.0,Daily Food & Nutrition Dataset
164,Sugar (1 tsp for cereal),Condiment,16.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,Daily Food & Nutrition Dataset
165,Tuna (Canned 3oz in water),Protein/Fish,90.0,20.0,0.0,1.0,0.0,0.0,250.0,35.0,Daily Food & Nutrition Dataset
166,Mayonnaise (1 tbsp),Condiment,90.0,0.1,0.1,10.0,0.0,0.1,70.0,5.0,Daily Food & Nutrition Dataset
167,Pickle (1 spear dill),Vegetable,5.0,0.2,1.0,0.1,0.3,0.5,300.0,0.0,Daily Food & Nutrition Dataset
168,Lobster Bisque (1 cup),Meal/Seafood,250.0,8.0,12.0,18.0,1.0,3.0,850.0,50.0,Daily Food & Nutrition Dataset
169,Reuben Sandwich,Meal/Processed,650.0,28.0,35.0,40.0,5.0,6.0,1500.0,100.0,Daily Food & Nutrition Dataset
170,Sauerkraut (1/4 cup side),Vegetable,7.0,0.3,1.5,0.0,1.0,0.6,234.0,0.0,Daily Food & Nutrition Dataset
171,Mushroom (White 1 cup sliced),Vegetable,15.0,2.2,2.3,0.2,0.7,1.4,4.0,0.0,Daily Food & Nutrition Dataset
172,Soy Milk (Original 1 cup),Beverage/Dairy-Alt,110.0,8.0,9.0,4.5,2.0,6.0,125.0,0.0,Daily Food & Nutrition Dataset
173,Chicken Tikka Masala (1.5 cups),Meal/Meat,480.0,30.0,20.0,30.0,5.0,8.0,900.0,95.0,Daily Food & Nutrition Dataset
174,Naan Bread (1 piece),Grain,260.0,8.0,45.0,5.0,2.0,3.0,450.0,10.0,Daily Food & Nutrition Dataset
175,Cucumber Salad (1/2 cup),Vegetable,40.0,1.0,5.0,2.0,1.0,4.0,200.0,0.0,Daily Food & Nutrition Dataset
176,Vodka Soda (1 drink),Beverage,100.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,Daily Food & Nutrition Dataset
177,Chocolate Croissant,Dessert,350.0,6.0,40.0,19.0,3.0,15.0,300.0,40.0,Daily Food & Nutrition Dataset
178,Sweet & Sour Chicken (1 cup),Meal/Processed,380.0,18.0,45.0,15.0,3.0,25.0,750.0,50.0,Daily Food & Nutrition Dataset
179,Egg Drop Soup (1 cup),Meal/Vegetable,65.0,5.0,6.0,2.0,0.5,1.0,780.0,50.0,Daily Food & Nutrition Dataset
180,String Cheese (1 stick),Dairy,80.0,6.0,1.0,6.0,0.0,0.0,210.0,20.0,Daily Food & Nutrition Dataset
181,Turkey Burger (1 patty),Protein/Meat,160.0,22.0,2.0,8.0,0.0,1.0,400.0,70.0,Daily Food & Nutrition Dataset
182,Potato Salad (1/2 cup),Meal/Vegetable,180.0,2.0,19.0,11.0,2.0,3.0,500.0,10.0,Daily Food & Nutrition Dataset
183,Cranberry Juice (1 cup),Beverage,130.0,0.0,33.0,0.0,0.0,30.0,10.0,0.0,Daily Food & Nutrition Dataset
184,Chicken Piccata (1 serving),Meal/Meat,350.0,30.0,10.0,20.0,1.0,2.0,600.0,90.0,Daily Food & Nutrition Dataset
185,Angel Hair Pasta (1 cup),Grain,200.0,7.0,42.0,1.0,2.0,1.0,1.0,0.0,Daily Food & Nutrition Dataset
186,Olive Oil (1 tbsp),Condiment,120.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,Daily Food & Nutrition Dataset
187,Garlic (1 clove),Vegetable,4.0,0.2,0.9,0.0,0.1,0.0,1.0,0.0,Daily Food & Nutrition Dataset
188,Salami (3 slices),Protein/Processed,110.0,6.0,1.0,9.0,0.0,0.5,500.0,30.0,Daily Food & Nutrition Dataset
189,Provolone Cheese (1 slice),Dairy,100.0,7.0,1.0,8.0,0.0,0.5,250.0,20.0,Daily Food & Nutrition Dataset
190,Ginger Ale (1 can),Beverage,124.0,0.0,32.0,0.0,0.0,31.0,40.0,0.0,Daily Food & Nutrition Dataset
191,Shrimp Scampi (1 cup),Meal/Seafood,380.0,22.0,40.0,15.0,3.0,3.0,750.0,140.0,Daily Food & Nutrition Dataset
192,Tiramisu (1 slice),Dessert,450.0,7.0,42.0,28.0,2.0,25.0,150.0,180.0,Daily Food & Nutrition Dataset
193,Cereal Bar (Fruit),Snack/Processed,140.0,2.0,30.0,3.0,1.0,15.0,110.0,0.0,Daily Food & Nutrition Dataset
194,Veal Parmesan (1 serving),Meal/Meat,550.0,40.0,30.0,30.0,4.0,7.0,1100.0,130.0,Daily Food & Nutrition Dataset
195,Spaghetti (side),Grain,100.0,3.5,21.0,0.5,1.0,0.5,0.0,0.0,Daily Food & Nutrition Dataset
196,Hot Chocolate (1 cup),Beverage,200.0,3.0,30.0,8.0,2.0,25.0,160.0,10.0,Daily Food & Nutrition Dataset
197,Coconut Shrimp (5 pcs),Meal/Seafood,320.0,10.0,25.0,20.0,3.0,8.0,600.0,80.0,Daily Food & Nutrition Dataset
198,Sweet Chili Sauce (2 tbsp),Condiment,70.0,0.0,17.0,0.0,0.5,16.0,450.0,0.0,Daily Food & Nutrition Dataset
